Iterations,Accuracy (%),Agg,Bucketing,RandomEdge,Group
90,53.826121794871796,Gossip,False,True,clique 1
120,54.89783653846154,Gossip,False,True,clique 1
150,55.88942307692308,Gossip,False,True,clique 1
180,57.45192307692308,Gossip,False,True,clique 1
210,58.60376602564103,Gossip,False,True,clique 1
240,59.92588141025641,Gossip,False,True,clique 1
270,60.9375,Gossip,False,True,clique 1
300,62.419871794871796,Gossip,False,True,clique 1
330,62.26963141025641,Gossip,False,True,clique 1
360,65.3545673076923,Gossip,False,True,clique 1
390,62.98076923076923,Gossip,False,True,clique 1
420,65.83533653846153,Gossip,False,True,clique 1
450,68.30929487179488,Gossip,False,True,clique 1
480,68.96033653846153,Gossip,False,True,clique 1
510,70.3926282051282,Gossip,False,True,clique 1
540,71.28405448717949,Gossip,False,True,clique 1
570,71.9551282051282,Gossip,False,True,clique 1
600,72.41586538461539,Gossip,False,True,clique 1
630,73.21714743589743,Gossip,False,True,clique 1
660,74.00841346153847,Gossip,False,True,clique 1
690,74.71955128205128,Gossip,False,True,clique 1
720,75.09014423076923,Gossip,False,True,clique 1
750,75.55088141025641,Gossip,False,True,clique 1
780,75.91145833333333,Gossip,False,True,clique 1
810,76.45232371794872,Gossip,False,True,clique 1
840,76.9931891025641,Gossip,False,True,clique 1
870,77.37379807692308,Gossip,False,True,clique 1
0,44.16065705128205,Gossip,False,True,clique 2
30,45.91346153846154,Gossip,False,True,clique 2
60,48.07692307692308,Gossip,False,True,clique 2
90,50.61097756410256,Gossip,False,True,clique 2
120,53.72596153846154,Gossip,False,True,clique 2
150,56.08974358974359,Gossip,False,True,clique 2
180,58.19310897435897,Gossip,False,True,clique 2
210,57.33173076923077,Gossip,False,True,clique 2
240,54.797676282051285,Gossip,False,True,clique 2
270,58.29326923076923,Gossip,False,True,clique 2
300,58.463541666666664,Gossip,False,True,clique 2
330,57.8525641025641,Gossip,False,True,clique 2
360,61.10777243589744,Gossip,False,True,clique 2
390,62.46995192307692,Gossip,False,True,clique 2
420,65.06410256410257,Gossip,False,True,clique 2
450,67.9286858974359,Gossip,False,True,clique 2
480,69.08052884615384,Gossip,False,True,clique 2
510,69.70152243589743,Gossip,False,True,clique 2
540,70.10216346153847,Gossip,False,True,clique 2
570,71.37419871794872,Gossip,False,True,clique 2
600,72.5360576923077,Gossip,False,True,clique 2
630,73.92828525641026,Gossip,False,True,clique 2
660,73.54767628205128,Gossip,False,True,clique 2
690,73.828125,Gossip,False,True,clique 2
720,74.78966346153847,Gossip,False,True,clique 2
750,74.42908653846153,Gossip,False,True,clique 2
780,76.2520032051282,Gossip,False,True,clique 2
810,76.49238782051282,Gossip,False,True,clique 2
840,76.86298076923077,Gossip,False,True,clique 2
870,77.10336538461539,Gossip,False,True,clique 2
0,78.83613782051282,GM,False,False,global
30,84.54527243589743,GM,False,False,global
60,85.9375,GM,False,False,global
90,86.72876602564102,GM,False,False,global
120,86.81891025641026,GM,False,False,global
150,87.66025641025641,GM,False,False,global
180,87.60016025641026,GM,False,False,global
210,87.51001602564102,GM,False,False,global
240,87.84054487179488,GM,False,False,global
270,86.35817307692308,GM,False,False,global
300,87.13942307692308,GM,False,False,global
330,88.03084935897436,GM,False,False,global
360,88.35136217948718,GM,False,False,global
390,89.1025641025641,GM,False,False,global
420,89.23277243589743,GM,False,False,global
450,88.52163461538461,GM,False,False,global
480,88.49158653846153,GM,False,False,global
510,87.9306891025641,GM,False,False,global
540,88.12099358974359,GM,False,False,global
570,88.35136217948718,GM,False,False,global
600,88.58173076923077,GM,False,False,global
630,88.68189102564102,GM,False,False,global
660,88.76201923076923,GM,False,False,global
690,88.93229166666667,GM,False,False,global
720,89.0625,GM,False,False,global
750,89.11258012820512,GM,False,False,global
780,89.1826923076923,GM,False,False,global
810,89.23277243589743,GM,False,False,global
840,89.32291666666667,GM,False,False,global
870,89.38301282051282,GM,False,False,global
0,49.298878205128204,GM,False,False,clique 1
30,49.81971153846154,GM,False,False,clique 1
60,50.15024038461539,GM,False,False,clique 1
90,50.40064102564103,GM,False,False,clique 1
120,50.44070512820513,GM,False,False,clique 1
150,50.54086538461539,GM,False,False,clique 1
180,50.53084935897436,GM,False,False,clique 1
210,50.520833333333336,GM,False,False,clique 1
240,50.63100961538461,GM,False,False,clique 1
270,50.59094551282051,GM,False,False,clique 1
300,50.64102564102564,GM,False,False,clique 1
330,50.651041666666664,GM,False,False,clique 1
360,50.681089743589745,GM,False,False,clique 1
390,50.701121794871796,GM,False,False,clique 1
420,50.701121794871796,GM,False,False,clique 1
450,50.71113782051282,GM,False,False,clique 1
480,50.71113782051282,GM,False,False,clique 1
510,50.71113782051282,GM,False,False,clique 1
540,50.71113782051282,GM,False,False,clique 1
570,50.71113782051282,GM,False,False,clique 1
600,50.71113782051282,GM,False,False,clique 1
630,50.73116987179487,GM,False,False,clique 1
660,50.73116987179487,GM,False,False,clique 1
690,50.72115384615385,GM,False,False,clique 1
720,50.72115384615385,GM,False,False,clique 1
750,50.72115384615385,GM,False,False,clique 1
780,50.73116987179487,GM,False,False,clique 1
810,50.73116987179487,GM,False,False,clique 1
840,50.73116987179487,GM,False,False,clique 1
870,50.73116987179487,GM,False,False,clique 1
0,44.240785256410255,GM,False,False,clique 2
30,45.803285256410255,GM,False,False,clique 2
60,46.16386217948718,GM,False,False,clique 2
90,46.49439102564103,GM,False,False,clique 2
120,46.70472756410256,GM,False,False,clique 2
150,46.84495192307692,GM,False,False,clique 2
180,46.985176282051285,GM,False,False,clique 2
210,46.80488782051282,GM,False,False,clique 2
240,46.9150641025641,GM,False,False,clique 2
270,46.81490384615385,GM,False,False,clique 2
300,46.86498397435897,GM,False,False,clique 2
330,47.12540064102564,GM,False,False,clique 2
360,47.135416666666664,GM,False,False,clique 2
390,46.93509615384615,GM,False,False,clique 2
420,47.165464743589745,GM,False,False,clique 2
450,47.14543269230769,GM,False,False,clique 2
480,47.24559294871795,GM,False,False,clique 2
510,47.21554487179487,GM,False,False,clique 2
540,47.23557692307692,GM,False,False,clique 2
570,47.2255608974359,GM,False,False,clique 2
600,47.21554487179487,GM,False,False,clique 2
630,47.21554487179487,GM,False,False,clique 2
660,47.2255608974359,GM,False,False,clique 2
690,47.25560897435897,GM,False,False,clique 2
720,47.23557692307692,GM,False,False,clique 2
750,47.24559294871795,GM,False,False,clique 2
780,47.21554487179487,GM,False,False,clique 2
810,47.2255608974359,GM,False,False,clique 2
840,47.2255608974359,GM,False,False,clique 2
870,47.23557692307692,GM,False,False,clique 2
0,79.01642628205128,GM,False,True,global
30,84.86578525641026,GM,False,True,global
60,86.22796474358974,GM,False,True,global
90,87.05929487179488,GM,False,True,global
120,87.0292467948718,GM,False,True,global
150,88.0108173076923,GM,False,True,global
180,88.82211538461539,GM,False,True,global
210,88.06089743589743,GM,False,True,global
240,88.43149038461539,GM,False,True,global
270,87.90064102564102,GM,False,True,global
300,87.36979166666667,GM,False,True,global
330,89.20272435897436,GM,False,True,global
360,88.9823717948718,GM,False,True,global
390,89.79366987179488,GM,False,True,global
420,89.97395833333333,GM,False,True,global
450,89.48317307692308,GM,False,True,global
480,89.26282051282051,GM,False,True,global
510,89.16266025641026,GM,False,True,global
540,89.17267628205128,GM,False,True,global
570,89.23277243589743,GM,False,True,global
600,89.3329326923077,GM,False,True,global
630,89.55328525641026,GM,False,True,global
660,89.75360576923077,GM,False,True,global
690,89.97395833333333,GM,False,True,global
720,90.1141826923077,GM,False,True,global
750,90.32451923076923,GM,False,True,global
780,90.53485576923077,GM,False,True,global
810,90.65504807692308,GM,False,True,global
840,90.69511217948718,GM,False,True,global
870,90.7051282051282,GM,False,True,global
0,49.30889423076923,GM,False,True,clique 1
30,49.87980769230769,GM,False,True,clique 1
60,50.130208333333336,GM,False,True,clique 1
90,50.37059294871795,GM,False,True,clique 1
120,50.42067307692308,GM,False,True,clique 1
150,50.56089743589744,GM,False,True,clique 1
180,50.500801282051285,GM,False,True,clique 1
210,50.500801282051285,GM,False,True,clique 1
240,50.62099358974359,GM,False,True,clique 1
270,50.69110576923077,GM,False,True,clique 1
300,50.60096153846154,GM,False,True,clique 1
330,50.62099358974359,GM,False,True,clique 1
360,50.681089743589745,GM,False,True,clique 1
390,50.671073717948715,GM,False,True,clique 1
420,50.72115384615385,GM,False,True,clique 1
450,50.72115384615385,GM,False,True,clique 1
480,50.73116987179487,GM,False,True,clique 1
510,50.73116987179487,GM,False,True,clique 1
540,50.73116987179487,GM,False,True,clique 1
570,50.73116987179487,GM,False,True,clique 1
600,50.73116987179487,GM,False,True,clique 1
630,50.72115384615385,GM,False,True,clique 1
660,50.71113782051282,GM,False,True,clique 1
690,50.701121794871796,GM,False,True,clique 1
