Iterations,Accuracy (%),Agg,ATK,Group,H.M.E.
840,94.4511217948718,SCClip,ALIE,global,True
870,94.08052884615384,SCClip,ALIE,global,True
0,84.40504807692308,SCClip,Dissensus,global,False
30,89.26282051282051,SCClip,Dissensus,global,False
60,90.40464743589743,SCClip,Dissensus,global,False
90,90.3545673076923,SCClip,Dissensus,global,False
120,90.21434294871794,SCClip,Dissensus,global,False
150,90.65504807692308,SCClip,Dissensus,global,False
180,90.43469551282051,SCClip,Dissensus,global,False
210,90.57491987179488,SCClip,Dissensus,global,False
240,90.9755608974359,SCClip,Dissensus,global,False
270,90.73517628205128,SCClip,Dissensus,global,False
300,90.7451923076923,SCClip,Dissensus,global,False
330,90.7051282051282,SCClip,Dissensus,global,False
360,90.64503205128206,SCClip,Dissensus,global,False
390,90.63501602564102,SCClip,Dissensus,global,False
420,90.56490384615384,SCClip,Dissensus,global,False
450,90.53485576923077,SCClip,Dissensus,global,False
480,90.46474358974359,SCClip,Dissensus,global,False
510,90.47475961538461,SCClip,Dissensus,global,False
540,90.42467948717949,SCClip,Dissensus,global,False
570,90.38461538461539,SCClip,Dissensus,global,False
600,90.34455128205128,SCClip,Dissensus,global,False
630,90.2744391025641,SCClip,Dissensus,global,False
660,90.28445512820512,SCClip,Dissensus,global,False
690,90.26442307692308,SCClip,Dissensus,global,False
720,90.22435897435898,SCClip,Dissensus,global,False
750,90.1943108974359,SCClip,Dissensus,global,False
780,90.17427884615384,SCClip,Dissensus,global,False
810,90.18429487179488,SCClip,Dissensus,global,False
840,90.1542467948718,SCClip,Dissensus,global,False
870,90.1141826923077,SCClip,Dissensus,global,False
0,82.41185897435898,SCClip,Dissensus,global,True
30,88.70192307692308,SCClip,Dissensus,global,True
60,89.73357371794872,SCClip,Dissensus,global,True
90,89.26282051282051,SCClip,Dissensus,global,True
120,89.75360576923077,SCClip,Dissensus,global,True
150,89.9238782051282,SCClip,Dissensus,global,True
180,89.8036858974359,SCClip,Dissensus,global,True
210,89.97395833333333,SCClip,Dissensus,global,True
240,89.81370192307692,SCClip,Dissensus,global,True
270,89.90384615384616,SCClip,Dissensus,global,True
300,89.74358974358974,SCClip,Dissensus,global,True
330,89.8036858974359,SCClip,Dissensus,global,True
360,89.79366987179488,SCClip,Dissensus,global,True
390,89.78365384615384,SCClip,Dissensus,global,True
420,89.73357371794872,SCClip,Dissensus,global,True
450,89.69350961538461,SCClip,Dissensus,global,True
480,89.68349358974359,SCClip,Dissensus,global,True
510,89.66346153846153,SCClip,Dissensus,global,True
540,89.64342948717949,SCClip,Dissensus,global,True
570,89.64342948717949,SCClip,Dissensus,global,True
600,89.60336538461539,SCClip,Dissensus,global,True
630,89.62339743589743,SCClip,Dissensus,global,True
660,89.61338141025641,SCClip,Dissensus,global,True
690,89.60336538461539,SCClip,Dissensus,global,True
720,89.5733173076923,SCClip,Dissensus,global,True
750,89.56330128205128,SCClip,Dissensus,global,True
780,89.51322115384616,SCClip,Dissensus,global,True
810,89.48317307692308,SCClip,Dissensus,global,True
840,89.46314102564102,SCClip,Dissensus,global,True
870,89.43309294871794,SCClip,Dissensus,global,True
0,11.348157051282051,GM,IPM,global,False
30,11.348157051282051,GM,IPM,global,False
60,11.348157051282051,GM,IPM,global,False
90,11.348157051282051,GM,IPM,global,False
120,11.348157051282051,GM,IPM,global,False
150,11.348157051282051,GM,IPM,global,False
180,11.348157051282051,GM,IPM,global,False
210,11.348157051282051,GM,IPM,global,False
240,11.348157051282051,GM,IPM,global,False
270,11.348157051282051,GM,IPM,global,False
300,11.348157051282051,GM,IPM,global,False
330,11.348157051282051,GM,IPM,global,False
360,11.348157051282051,GM,IPM,global,False
390,11.348157051282051,GM,IPM,global,False
420,11.348157051282051,GM,IPM,global,False
450,11.348157051282051,GM,IPM,global,False
480,11.348157051282051,GM,IPM,global,False
510,11.348157051282051,GM,IPM,global,False
540,11.348157051282051,GM,IPM,global,False
570,11.348157051282051,GM,IPM,global,False
600,11.348157051282051,GM,IPM,global,False
630,11.348157051282051,GM,IPM,global,False
660,11.348157051282051,GM,IPM,global,False
690,11.348157051282051,GM,IPM,global,False
720,11.348157051282051,GM,IPM,global,False
750,11.348157051282051,GM,IPM,global,False
780,11.348157051282051,GM,IPM,global,False
810,11.348157051282051,GM,IPM,global,False
840,11.348157051282051,GM,IPM,global,False
870,11.348157051282051,GM,IPM,global,False
0,11.348157051282051,GM,IPM,global,True
30,11.348157051282051,GM,IPM,global,True
60,11.348157051282051,GM,IPM,global,True
90,11.348157051282051,GM,IPM,global,True
120,11.348157051282051,GM,IPM,global,True
150,11.348157051282051,GM,IPM,global,True
180,11.348157051282051,GM,IPM,global,True
210,11.348157051282051,GM,IPM,global,True
240,11.348157051282051,GM,IPM,global,True
270,11.348157051282051,GM,IPM,global,True
300,11.348157051282051,GM,IPM,global,True
330,11.348157051282051,GM,IPM,global,True
360,11.348157051282051,GM,IPM,global,True
390,11.348157051282051,GM,IPM,global,True
420,11.348157051282051,GM,IPM,global,True
450,11.348157051282051,GM,IPM,global,True
480,11.348157051282051,GM,IPM,global,True
510,11.348157051282051,GM,IPM,global,True
540,11.348157051282051,GM,IPM,global,True
570,11.348157051282051,GM,IPM,global,True
600,11.348157051282051,GM,IPM,global,True
630,11.348157051282051,GM,IPM,global,True
660,11.348157051282051,GM,IPM,global,True
690,11.348157051282051,GM,IPM,global,True
720,11.348157051282051,GM,IPM,global,True
750,11.348157051282051,GM,IPM,global,True
780,11.348157051282051,GM,IPM,global,True
810,11.348157051282051,GM,IPM,global,True
840,11.348157051282051,GM,IPM,global,True
870,11.348157051282051,GM,IPM,global,True
0,9.805689102564102,GM,ALIE,global,False
30,9.805689102564102,GM,ALIE,global,False
60,9.805689102564102,GM,ALIE,global,False
90,9.805689102564102,GM,ALIE,global,False
120,9.805689102564102,GM,ALIE,global,False
150,9.805689102564102,GM,ALIE,global,False
180,9.805689102564102,GM,ALIE,global,False
210,9.805689102564102,GM,ALIE,global,False
240,9.805689102564102,GM,ALIE,global,False
270,9.805689102564102,GM,ALIE,global,False
300,9.805689102564102,GM,ALIE,global,False
330,9.805689102564102,GM,ALIE,global,False
360,9.805689102564102,GM,ALIE,global,False
390,9.805689102564102,GM,ALIE,global,False
420,9.805689102564102,GM,ALIE,global,False
450,9.805689102564102,GM,ALIE,global,False
480,9.805689102564102,GM,ALIE,global,False
510,9.805689102564102,GM,ALIE,global,False
540,9.805689102564102,GM,ALIE,global,False
570,9.805689102564102,GM,ALIE,global,False
600,9.805689102564102,GM,ALIE,global,False
630,9.805689102564102,GM,ALIE,global,False
660,9.805689102564102,GM,ALIE,global,False
690,9.805689102564102,GM,ALIE,global,False
720,9.805689102564102,GM,ALIE,global,False
750,9.805689102564102,GM,ALIE,global,False
780,9.805689102564102,GM,ALIE,global,False
810,9.805689102564102,GM,ALIE,global,False
840,9.805689102564102,GM,ALIE,global,False
870,9.805689102564102,GM,ALIE,global,False
0,79.9979967948718,GM,ALIE,global,True
30,84.8056891025641,GM,ALIE,global,True
60,69.77163461538461,GM,ALIE,global,True
90,57.90264423076923,GM,ALIE,global,True
120,20.582932692307693,GM,ALIE,global,True
150,9.805689102564102,GM,ALIE,global,True
180,9.805689102564102,GM,ALIE,global,True
210,9.805689102564102,GM,ALIE,global,True
240,9.805689102564102,GM,ALIE,global,True
270,9.805689102564102,GM,ALIE,global,True
